,Name,Area,City,Cuisine,Price for 2,Walk in Offer,Rating,Average distance from City-Center,Type of Dining
667,Flo, Church Street, Bangalore,"Asian, Thai, Continental, Finger Food, Sushi, Desserts, Beverages",1900.0,30.0,4.1,1.4,Thematic Dining
668,Sozo Skyline, Lavelle Road, Bangalore,"Asian, Chinese, Thai, Sushi",1800.0,10.0,4.3,0.5,Thematic Dining
669,The Soda Factory, Nagarbhavi, Bangalore,"North Indian, Chinese, Pasta, Pizza, Fast Food, Biryani, Desserts, Beverages",1100.0,10.0,4.3,11.7,Regional Dining
670,The Peak, Sahakara Nagar, Bangalore,"Continental, Mangalorean",1000.0,10.0,4.3,11.3,Thematic Dining
671,Hashtag 88, Marathahalli, Bangalore,"Asian, Chinese, Salad, North Indian, Fast Food, Biryani, Desserts",1200.0,15.0,4.3,11.6,Thematic Dining
673,154 Breakfast Club, Koramangala 4th Block, Bangalore,"Burger, Cafe, Sandwich, Street Food, Fast Food, Pancake, Asian, Desserts",1100.0,10.0,3.9,5.5,Other
674,Gochick, HSR, Bangalore,"Burger, Fast Food",400.0,10.0,3.8,8.9,Other
675,Orah Brew Garden, Yelahanka, Bangalore,"Asian, Continental, Desserts, European, Modern Indian",1300.0,10.0,4.3,14.3,Thematic Dining
677,Shift Lounge & Bar, HSR, Bangalore,"Finger Food, Continental, North Indian, Salad, Seafood, Mughlai",1400.0,25.0,4.2,8.2,Thematic Dining
678,The Black Pearl, Kadubeesanahalli, Bangalore,"BBQ, North Indian, Biryani",2100.0,15.0,4.2,11.5,Specialty Dining
679,Just BLR, Brigade Road, Bangalore,"North Indian, Chinese, Biryani, Beverages",2500.0,10.0,4.4,1.4,Regional Dining
680,The Bangalore Cafe, Shanti Nagar, Bangalore,"North Indian, Italian, Continental, Biryani, Chinese, Desserts",950.0,10.0,4.2,1.1,Regional Dining
681,Stories Bar & Kitchen, Rajarajeshwari Nagar, Bangalore,"Bar Food, Chinese, North Indian, Italian, Pizza, Seafood, Desserts",1400.0,25.0,4.4,10.4,Thematic Dining
682,Omega IX Cocktail Bar And Global Kitchen, Sahakara Nagar, Bangalore,"North Indian, Continental, Asian, Sushi, Italian, Desserts, Beverages",1800.0,15.0,4.2,9.8,Regional Dining
776,Zodiac Bar & Kitchen, Brookefield, Bangalore,"Continental, North Indian, Pizza, Italian, Chinese, Fast Food, Biryani, Desserts",1800.0,10.0,4.3,12.8,Thematic Dining
777,Jamavar - The Leela Palace," The Leela Palace, Old Airport Road", Bangalore,"North Indian, South Indian",5000.0,10.0,4.3,6.1,Regional Dining
778,Table For Tous, HSR, Bangalore,"Cafe, Bakery, Coffee, Desserts",750.0,10.0,4.9,7.6,Casual Dining
779,Gold Rush Brews, KR Puram, Bangalore,"North Indian, Italian, Asian, Continental, American, South Indian, Beverages, Desserts",1900.0,10.0,4.4,13.4,Regional Dining
780,Deck Of Brews, Kadubeesanahalli, Bangalore,"Continental, North Indian, Italian, Asian, Desserts, Pizza, Pasta, South Indian",1500.0,10.0,4.3,11.9,Thematic Dining
782,The Groot, Bhartiya Mall of Bengaluru, Bangalore,"Italian, North Indian, Chinese, Burger, Pasta, Pizza, Salad, Desserts",1200.0,10.0,4.0,13.5,Fine Dining
783,Barkaas Indo Arabic Restaurant, Koramangala 5th Block, Bangalore,"Arabian, North Indian, Biryani, Mandi, Desserts",1000.0,10.0,4.2,4.7,Other
784,Fox In The Field," Nexus Shantiniketan, Whitefield", Bangalore,"Modern Indian, Continental, North Indian, Pizza, American, Italian, Desserts, Beverages",2000.0,10.0,4.2,14.6,Fine Dining
785,Jamming Goat 3.0, JP Nagar, Bangalore,"North Indian, Asian, Desserts",1500.0,10.0,4.3,7.3,Regional Dining
786,JW Kitchen - JW Marriott Bengaluru," JW Marriott Bengaluru, Lavelle Road", Bangalore,"North Indian, Continental, Mughlai, Beverages, Desserts, Asian",5000.0,25.0,4.2,69.0,Regional Dining
787,Sriracha, UB City, Bangalore,"Asian, Oriental, Thai, Chinese, Japanese",2000.0,10.0,4.1,0.2,Thematic Dining
788,Inanna Tap Room, Bannerghatta Road, Bangalore,"Chinese, North Indian, Burger, Pizza, Italian, Desserts",2000.0,10.0,4.2,11.0,Thematic Dining
790,LOFT38, Indiranagar, Bangalore,"Italian, BBQ, Asian, North Indian, Fast Food, Beverages",2000.0,40.0,4.1,5.1,Fine Dining
791,Fia's Lounge, Richmond Road, Bangalore,"Parsi, Lebanese, Beverages",1500.0,15.0,4.6,1.1,Other
792,Gannet Bar & Kitchen, Bommanahalli, Bangalore,"Bar Food, North Indian, Mughlai, Seafood, Chinese, Continental, Oriental, Desserts",1800.0,20.0,4.3,10.9,Thematic Dining
793,TOY BOY, Majestic, Bangalore,"Bar Food, North Indian, Pizza, Oriental",2000.0,10.0,4.2,3.5,Thematic Dining
794,Zest, Lavelle Road, Bangalore,"North Indian, Mughlai, Kebab, Chinese, Continental, Desserts",1500.0,15.0,4.1,0.7,Regional Dining
795,Chowki Multicuisine Restaurant, Whitefield, Bangalore,"North Indian, Chinese, Seafood, Fast Food, Biryani, Sichuan, Desserts, Beverages",700.0,15.0,4.1,15.3,Regional Dining
796,Vanamo, Indiranagar, Bangalore,"Continental, Cafe",2000.0,10.0,4.3,5.1,Thematic Dining
797,Roots, Koramangala 1st Block, Bangalore,"North Indian, South Indian, Chinese, Mughlai, Mangalorean, Desserts, Beverages",1600.0,10.0,4.4,6.4,Regional Dining
798,Cocobolo, New BEL Road, Bangalore,"Bar Food, North Indian, Continental, Italian, Chinese, BBQ, Desserts, Beverages",1000.0,10.0,4.2,7.6,Thematic Dining
799,Vapour Brewpub And Diner, Sarjapur Road, Bangalore,"North Indian, Continental, Italian, European, Biryani, Salad, Desserts, Beverages",2200.0,15.0,4.3,11.0,Regional Dining
800,Bamey's Restro Cafe, Koramangala 5th Block, Bangalore,"Asian, Nepalese, Momos",950.0,10.0,4.2,4.6,Thematic Dining
801,North Star Cafe, HSR, Bangalore,"Cafe, Bakery, Beverages, Desserts, Continental, Healthy Food",800.0,10.0,4.4,8.2,Casual Dining
802,VYANA - World Cuisine, JP Nagar, Bangalore,"Modern Indian, Oriental, Continental, Chinese, North Indian, Pizza, Italian, Desserts",1700.0,10.0,3.9,6.8,Fine Dining
803,Playful Palette, Indiranagar, Bangalore,"Continental, Italian, Pizza, Pasta, Bakery, Desserts, Coffee, Cafe",1400.0,10.0,4.4,5.1,Thematic Dining
804,Horizon, World Trade Center, Bangalore,"Chinese, Japanese, Asian, Salad, Thai, Desserts, Beverages",3000.0,15.0,4.5,6.1,Thematic Dining
929,Sidewalk Bar & Kitchen, Marathahalli, Bangalore,"North Indian, Continental, Chinese, Fast Food, Beverages",1800.0,15.0,4.3,11.6,Regional Dining
930,Barkaas- Arabic Restaurant, Marathahalli, Bangalore,"Arabian, North Indian, Mughlai, Shawarma, Fast Food, Mandi, Desserts, Beverages",1300.0,10.0,4.0,11.6,Other
932,Pizza Brew House, New BEL Road, Bangalore,"Pizza, Pasta, Fast Food, Coffee, Beverages",950.0,15.0,4.2,7.0,Casual Dining
933,Ishaara," Phoenix Mall of Asia, Hebbal", Bangalore,"North Indian, Mughlai, Kebab, Biryani",2500.0,10.0,4.5,11.1,Regional Dining
934,Hydra Club & Kitchen, Koramangala 5th Block, Bangalore,"Continental, Biryani, North Indian, South Indian, Japanese, Chinese",1200.0,15.0,4.3,4.7,Thematic Dining
935,Tiger Yaki, St. Marks Road, Bangalore,"Korean, Japanese",1000.0,10.0,3.9,0.7,Specialty Dining
936,TYD, Hennur, Bangalore,"Asian, European, Sushi, Continental, Italian, Mexican, Beverages, Desserts",1900.0,10.0,4.5,10.8,Thematic Dining
937,You Mee," Phoenix Mall of Asia, Hebbal", Bangalore,"Asian, Sushi, Japanese, Chinese, Desserts, Beverages",2200.0,15.0,4.5,11.1,Thematic Dining
938,Plan B, Koramangala 7th Block, Bangalore,"American, Continental, Burger, Pizza, Tex-Mex, Fast Food",1600.0,10.0,4.1,4.6,Thematic Dining
939,Jamie Oliver Kitchen, Indiranagar, Bangalore,"Italian, Pizza, Beverages",1500.0,10.0,4.4,4.9,Fine Dining
940,Kyba- Sushi Dim Sums & More, Sahakara Nagar, Bangalore,"Chinese, Thai, Sushi, Japanese, Asian, Seafood, Desserts",1400.0,15.0,4.7,9.8,Thematic Dining
941,Rumi, Indiranagar, Bangalore,"Awadhi, Mughlai, North Indian, Kebab, Desserts",1100.0,15.0,4.0,5.3,Other
942,Big Barrel BrewPub, Rajarajeshwari Nagar, Bangalore,"Chinese, Salad, North Indian, Oriental, Mexican, Italian, Continental, Beverages",2000.0,15.0,4.2,12.0,Thematic Dining
943,Proxy, Mahadevapura, Bangalore,"Finger Food, Street Food, Pasta, Bar Food, Desserts",1200.0,15.0,4.4,10.4,Thematic Dining
944,Bira 91 Taproom, Koramangala 4th Block, Bangalore,"Continental, Fast Food, Bar Food, North Indian, Italian, Beverages",2500.0,10.0,4.1,6.1,Thematic Dining
945,Aromas Of Biryani, HSR, Bangalore,"Biryani, North Indian, Seafood, Beverages",1400.0,10.0,4.1,7.8,Regional Dining
946,BANOFFEE, HSR, Bangalore,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts",1600.0,10.0,4.1,7.9,Casual Dining
947,Hangover Brewery, Koramangala 7th Block, Bangalore,"Continental, North Indian, Chinese, Finger Food, Burger, Pizza, Desserts",2000.0,10.0,4.0,4.6,Thematic Dining
948,Chianti, Forum South Bengaluru Mall, Bangalore,"Italian, Pizza, Pasta, Desserts, Salad",1800.0,10.0,4.7,9.9,Fine Dining
949,Geist Brewing Co., Bhartiya Mall of Bengaluru, Bangalore,"Continental, Italian, North Indian, Modern Indian, Bar Food, Beverages, Asian, American",1500.0,10.0,4.4,13.6,Thematic Dining
950,Sashay-Taproom Kitchen, Whitefield, Bangalore,"Asian, Modern Indian, Continental, Sushi, North Indian, Chinese, Desserts, Beverages",2000.0,20.0,4.8,13.4,Thematic Dining
951,Boho," Building 105, Koramangala 5th Block", Bangalore,"Continental, Asian, American, Mexican, Beverages, Desserts, Korean, Italian",550.0,10.0,4.1,4.8,Thematic Dining
952,"Torye Drink, Dine & Dance", Rajarajeshwari Nagar, Bangalore,Continental,2000.0,10.0,3.9,11.5,Thematic Dining
953,Public - The Rooftop Bar And Kitchen, Bannerghatta Road, Bangalore,"North Indian, Biryani, Oriental, Pizza, Continental",1200.0,15.0,4.1,8.2,Regional Dining
954,Full Circle, Rajarajeshwari Nagar, Bangalore,"Continental, Asian, North Indian, South Indian, BBQ, Bar Food, Desserts, Cafe",2200.0,10.0,4.3,11.3,Thematic Dining
955,Thelagram, JP Nagar, Bangalore,"North Indian, Street Food, Desserts, Beverages",800.0,15.0,4.4,7.3,Regional Dining
1000,Not Just Tamasha, Lower Parel, Mumbai,"Bar Food, Continental, Pasta, Pizza, Asian, Chinese, North Indian, Finger Food",1800.0,20.0,4.3,3.3,Thematic Dining
1001,Goa Portuguesa, Mahim, Mumbai,"Goan, Portuguese, South Indian, Maharashtrian, Desserts, Beverages",2500.0,10.0,4.5,2.3,Regional Dining
1002,Eight," Palladium Mall, Lower Parel", Mumbai,"Asian, Japanese, Sushi",3500.0,10.0,4.6,4.1,Thematic Dining
1004,Therapy Cocktail Bar, Khar, Mumbai,"Bar Food, Chinese, Desserts, Beverages, Pasta, Pizza, Continental",1000.0,10.0,4.2,6.1,Thematic Dining
1005,Hapi Beer Co.," Reclamation, Bandra West", Mumbai,"Finger Food, Asian, Continental, Italian, Bar Food, Desserts, Beverages, European",1300.0,20.0,4.2,4.5,Thematic Dining
1008,Kenko By Manav Shah," Linking Road, Bandra West", Mumbai,"Continental, Salad, Healthy Food, Burger, Sandwich, Pasta, Juices, Beverages",1800.0,10.0,3.5,5.4,Thematic Dining
1009,Takumi, Santacruz West, Mumbai,"Salad, Asian, Japanese, Chinese, Desserts, Thai, Sushi, Vietnamese",1500.0,10.0,4.2,8.0,Thematic Dining
1010,Checkmate - Wine N Dine, Santacruz West, Mumbai,"North Indian, Italian, Japanese, Asian, Chinese, Continental, Pizza, Pasta",1400.0,10.0,4.5,8.0,Regional Dining
1011,All Saints, Khar, Mumbai,"Continental, Italian, Salad, Sushi, Chinese, Desserts, Bar Food, Asian",1500.0,10.0,4.1,5.9,Thematic Dining
1012,Pritam Da Dhaba, Juhu, Mumbai,"North Indian, Mughlai, Kebab, Seafood, Biryani, Desserts, Beverages",1600.0,15.0,3.8,8.7,Regional Dining
1013,The Nines, Juhu, Mumbai,"Continental, Asian, North Indian, Pizza, Italian, Modern Indian, Sushi, Chinese",1800.0,10.0,4.4,11.4,Thematic Dining
1014,Shizusan," Phoenix Marketcity, Kurla", Mumbai,"Japanese, Asian, Korean, Desserts, Chinese, Beverages",2500.0,15.0,4.4,8.4,Fine Dining
1015,Lyla, Bandra Kurla Complex, Mumbai,"Mexican, Beverages, Desserts, American",2500.0,10.0,3.8,5.8,Specialty Dining
1016,Pleo, Bandra East, Mumbai,"Pizza, Italian, Asian, Continental, European, North Indian, Sushi, Desserts",1500.0,10.0,4.3,6.4,Casual Dining
1017,South Of Vindhyas - The Orchid," The Orchid, Vile Parle East", Mumbai,"Andhra, Kerala, South Indian, Chettinad, Biryani, Mangalorean, Tamil, Desserts",3000.0,20.0,4.2,8.9,Regional Dining
1018,Lounge Bar - Hilton Mumbai International Airport," Hilton Mumbai International Airport, Chakala", Mumbai,"Finger Food, Beverages, Continental, Asian, North Indian",2800.0,35.0,4.2,10.5,Thematic Dining
1019,Cray Craft, Marol, Mumbai,"Asian, Chinese, North Indian, Biryani, Pizza",1000.0,10.0,4.7,10.3,Thematic Dining
1020,Doolally Taproom, Veera Desai Area, Mumbai,"Finger Food, American, Italian, Pizza, Fast Food, Beverages, Desserts",2500.0,10.0,4.6,13.3,Thematic Dining
1021,Eve, Powai, Mumbai,"Asian, Continental, North Indian, Sushi, Pizza, Coffee, Beverages",1200.0,10.0,4.6,13.2,Thematic Dining
1022,3 Stories - All Day Bar, Juhu, Mumbai,"Asian, Continental, North Indian, Pizza, Beverages",1500.0,10.0,4.3,11.0,Thematic Dining
1023,Lucy Lou, Mahakali, Mumbai,"Modern Indian, Asian, Turkish",1500.0,10.0,4.1,11.4,Fine Dining
1024,Demy, Lower Parel, Mumbai,"Sushi, Italian, Continental, North Indian, Pizza, Asian, Desserts, Beverages",2000.0,10.0,4.4,3.4,Specialty Dining
1025,One8 Commune, Juhu, Mumbai,"Finger Food, Asian, European, Pasta, Desserts, Continental, Pizza, Mediterranean",2500.0,10.0,4.3,8.5,Thematic Dining
1026,Que Sera Sera," Andheri Lokhandwala, Andheri West", Mumbai,"Continental, Italian, Salad, European, Desserts, Beverages",1800.0,10.0,4.4,13.6,Thematic Dining
1027,Oriv Resto - Cafe - Bar, Borivali West, Mumbai,"North Indian, Chinese, Oriental, Continental, Italian, Fast Food, Wraps, Kebab",1400.0,10.0,4.3,25.0,Regional Dining
1028,Oh So Silly!, Khar, Mumbai,"Continental, Salad, North Indian, Pizza, Asian, Desserts, Coffee, Beverages",2000.0,10.0,4.1,5.9,Thematic Dining
1029,Episode One, Powai, Mumbai,"Chinese, Asian, Italian, North Indian, Sushi, Fast Food, Bar Food, Beverages",1600.0,20.0,4.4,12.7,Thematic Dining
1030,Cream Centre - Vegetarian Legacy Since 1958," Phoenix Palladium, Lower Parel", Mumbai,"North Indian, Street Food",1900.0,10.0,4.0,4.1,Regional Dining
1031,Rooh, Juhu, Mumbai,"North Indian, Biryani, Desserts, Awadhi, Beverages, Bar Food, Kebab, Rolls",1800.0,10.0,4.2,11.1,Regional Dining
1032,Rizz, Kandivali West, Mumbai,"Italian, Japanese, Asian, Mediterranean, Continental, North Indian, Pizza, Desserts",1000.0,10.0,4.0,21.9,Fine Dining
1033,Neuma, Colaba, Mumbai,"Asian, Continental, European, Mediterranean, Salad, Sandwich, Desserts, Beverages",2500.0,10.0,4.1,10.9,Thematic Dining
1068,KOA - Cafe & Bar," Korum Mall, Khopat, Thane West", Thane,"Pizza, Pasta, North Indian, Sushi, Chinese, Desserts",1700.0,10.0,4.3,23.5,Casual Dining
1069,Bo Reverie, Borivali West, Mumbai,"North Indian, Continental, Japanese, Thai, Asian",1500.0,10.0,4.3,23.0,Regional Dining
1070,Mansionairre By The Roof," Wagle Estate, Thane West", Thane,"North Indian, Asian, Chinese, Continental, Italian, Japanese, Lebanese",2000.0,10.0,4.0,22.3,Regional Dining
1071,Tanatan, Juhu, Mumbai,"North Indian, Malwani, Mughlai, Desserts",1800.0,15.0,4.4,10.7,Regional Dining
1072,Pa Pa Ya," Inorbit Mall, Malad West", Mumbai,"Asian, Japanese, Thai, Chinese, Sushi, Desserts",1500.0,10.0,4.3,17.4,Thematic Dining
1073,Bohoba, Malad West, Mumbai,"Modern Indian, Asian, Italian, European, Desserts, Beverages",1500.0,20.0,4.3,18.7,Fine Dining
1074,Fairy Tale - SIP DINE DANCE, Borivali West, Mumbai,"North Indian, Biryani, Kebab, Chinese, Beverages, Continental, Pizza, Pasta",1200.0,15.0,3.9,23.6,Regional Dining
1075,Dobaraa," Phoenix Palladium, Lower Parel", Mumbai,"North Indian, Continental, Salad, Desserts",1200.0,15.0,4.6,4.1,Regional Dining
1076,Someplace Else," Jio World Drive, Bandra Kurla Complex", Mumbai,"North Indian, Continental, Asian, Sushi",2500.0,10.0,4.2,4.0,Regional Dining
1077,Sigree Global Grill," Ventura Building, Powai", Mumbai,"North Indian, Biryani, Beverages",1950.0,10.0,4.2,12.4,Regional Dining
1078,LVEL - Bar & Dinner, Sakinaka, Mumbai,"Continental, Italian, North Indian, Mexican, Desserts, Beverages",1200.0,10.0,4.2,10.6,Thematic Dining
1079,Mitron," Linking Road, Bandra West", Mumbai,"North Indian, European, Continental, Asian, Sushi, Chinese, Desserts, Beverages",2000.0,15.0,4.2,5.8,Regional Dining
1080,Bombay Brasserie, Colaba, Mumbai,"North Indian, South Indian, Biryani, Desserts, Beverages",1800.0,15.0,4.6,10.7,Regional Dining
1081,Axo Bar & Kitchen," Andheri Lokhandwala, Andheri West", Mumbai,"Greek, Mediterranean, Modern Indian, Beverages, Desserts, Italian, Continental, Seafood",1800.0,20.0,4.2,13.7,Fine Dining
1082,Gurukripa, Powai, Mumbai,"North Indian, Mughlai, Chinese, Fast Food, Rolls, Biryani, Kebab, Beverages",1700.0,10.0,4.3,11.6,Regional Dining
1083,Fiona by Radisson Blu, Radisson Blu Mumbai International Airport, Mumbai,"North Indian, Continental, Asian, Italian, Desserts, Beverages",3500.0,20.0,4.1,10.6,Regional Dining
1084,East Asia - Indian | Asian | Continental, Borivali West, Mumbai,"Asian, Chinese, North Indian, Sushi, Continental, Pizza, Pasta, Sichuan",1800.0,10.0,4.4,22.8,Thematic Dining
1085,Aegyo Cafe & Bakehouse, Khar, Mumbai,"Korean, Asian, Hot Pot, Bubble Tea, Tea, Coffee, Fast Food, Desserts",900.0,10.0,4.0,7.0,Specialty Dining
