,Name,Area,City,Cuisine,Price for 2,Walk in Offer,Rating,Average distance from City-Center,Type of Dining
1086,Taki Taki, Lower Parel, Mumbai,"Sushi, Japanese, Asian, Thai, Chinese, Desserts",3000.0,10.0,4.6,3.5,Specialty Dining
1087,Mia Cuccinna," Hill Road, Bandra West", Mumbai,"American, Pizza, Italian, Pasta, Panini, Salad, Beverages, Desserts",3000.0,15.0,4.0,5.1,Thematic Dining
1088,Lotus Cafe - JW Marriott Mumbai Juhu," JW Marriott Mumbai, Juhu", Mumbai,"North Indian, Asian, Italian, Continental, Lebanese",5000.0,15.0,4.3,9.9,Regional Dining
1089,Tattva Bar & Cafe," Peninsula Redpine, Marol", Mumbai,"Italian, Mexican, Continental",1800.0,10.0,4.4,10.4,Fine Dining
1090,The Terrace - A Maiden Affair," Andheri Lokhandwala, Andheri West", Mumbai,"Continental, Italian, Chinese, Fast Food, Salad, Desserts",1800.0,15.0,4.3,13.7,Thematic Dining
1091,Rude Lounge," Supreme Business Park, Powai", Mumbai,"North Indian, Italian, Chinese, Bar Food, Fast Food, Biryani",1900.0,10.0,4.2,11.7,Regional Dining
1092,Chin Chin Chu, Juhu, Mumbai,"Asian, Japanese, Seafood, Sushi, Chinese, Desserts, Beverages",2500.0,10.0,4.4,10.9,Thematic Dining
1093,Mool: Kitchen & Bar, Fort, Mumbai,"Modern Indian, Beverages, Desserts",1000.0,20.0,4.5,9.9,Fine Dining
1094,The Atrangii House Sky Lounge, Sanpada, Navi Mumbai,"Chinese, Asian, Sushi, Seafood, North Indian, Oriental, Fast Food, Desserts",1800.0,10.0,4.2,16.0,Thematic Dining
1095,Shifuku Asian Dining & Cocktail Bar," Andheri Lokhandwala, Andheri West", Mumbai,"Sushi, Asian, Korean, Japanese, Chinese, Desserts",2000.0,10.0,4.5,13.9,Specialty Dining
1096,Plum by Bent Chair, Lower Parel, Mumbai,"Asian, Sushi, Desserts",3000.0,20.0,4.5,3.4,Thematic Dining
1097,Courtyard Pavilion - Courtyard By Marriott Navi Mumbai, Courtyard By Marriott Navi Mumbai, Navi Mumbai,"Continental, Asian, North Indian, Italian, South Indian, Fast Food, Desserts",3200.0,10.0,4.3,18.2,Thematic Dining
1098,Hunky Dory, Lemon Tree Mumbai Malad West, Mumbai,"Bar Food, North Indian, Asian, Japanese, European, Continental, Beverages, Desserts",1400.0,10.0,4.3,20.9,Thematic Dining
1099,SAQI, Khar, Mumbai,"North Indian, Italian, Asian, Chinese, Pizza, Continental, Desserts, Bar Food",1800.0,15.0,4.1,6.1,Regional Dining
1100,Canto Bar & Kitchen, Vikhroli, Mumbai,"North Indian, Continental, Asian, Italian, Chinese",2000.0,10.0,4.3,10.9,Regional Dining
1101,Spotlight Skydeck," Wagle Estate, Thane West", Thane,"North Indian, Italian, Fast Food, Chinese, Bar Food, Street Food, Desserts, Beverages",1800.0,10.0,4.3,21.6,Regional Dining
1170,Pondichery Cafe - Sofitel," Sofitel, Bandra Kurla Complex", Mumbai,"North Indian, European, Asian, French, Healthy Food, Beverages, Desserts",3000.0,20.0,4.0,5.7,Regional Dining
1171,Tango Tamari," Hotel King's International, Juhu", Mumbai,"Japanese, Asian, Sushi",2000.0,10.0,4.5,10.4,Fine Dining
1172,Razzberry Rhinoceros, Juhu, Mumbai,"Mediterranean, Italian, North Indian, Continental, Beverages, Desserts",2000.0,15.0,4.0,10.0,Fine Dining
1173,The Bluebop Cafe, Khar, Mumbai,"Italian, Burger, Mexican, Pizza, Continental, American, Desserts, Beverages",1700.0,10.0,4.5,6.5,Fine Dining
1174,Gosssip Corner Cafe Resto, Dahisar West, Mumbai,"Cafe, Panini, Chinese, Desserts, Beverages, North Indian, Continental, Lebanese",1500.0,15.0,4.4,26.8,Casual Dining
1175,Zaika Fun Dining | Club Aquaria, Borivali West, Mumbai,"North Indian, Chinese, Continental, Mughlai, Beverages",1400.0,15.0,4.3,24.8,Regional Dining
1176,The Game Palacio," Linking Road, Bandra West", Mumbai,"Pizza, Sushi, Asian, Italian, Mexican",1800.0,20.0,4.1,5.3,Casual Dining
1177,True Tramm Trunk, Bandra Kurla Complex, Mumbai,"Finger Food, Fast Food, Continental, Pizza, North Indian, Beverages, Desserts",2500.0,10.0,4.1,6.3,Thematic Dining
1179,Persia Darbar, Jogeshwari, Mumbai,"North Indian, Mughlai, Chinese, Asian, Seafood, Shawarma, Desserts, Beverages",1700.0,10.0,4.2,13.3,Regional Dining
1180,Purple Penguin by Mini’s Kitchen, Veera Desai Area, Mumbai,"Continental, Modern Indian, Bar Food, Pizza, Chinese, Finger Food, North Indian, Beverages",1450.0,20.0,4.3,13.8,Thematic Dining
1181,SpiceKlub, Lower Parel, Mumbai,"North Indian, Biryani, Rolls, Beverages, Modern Indian",1800.0,10.0,4.3,4.1,Regional Dining
1183,The Game Ranch, Malad West, Mumbai,"Pizza, North Indian, Chinese, Burger, Italian",1600.0,15.0,4.2,18.3,Casual Dining
1184,Fame Garden_Privé, Powai, Mumbai,"Mediterranean, European, Continental, Modern Indian, Italian, Asian",2000.0,10.0,4.3,12.9,Fine Dining
